plant_num,family,treatment,axillary_swellings,notes
1,53G,clip,0,
2,77G,JA,0,
3,77G,clip,0,
4,51G,JA,16,
5,53G,ctrl,0,
6,78G,soil,1,
7,78G,JA,0,
8,53G,clip,0,
9,77G,soil,1,
10,53G,JA,1,
11,11G,clip,16,
12,51G,ctrl,9,
13,77G,JA,0,
14,78G,soil,0,
15,1-1G2,soil,5,
16,51G,clip,9,
17,78G,JA,1,
18,54G,ctrl,1,
19,77G,clip,2,
20,50G,ctrl,NA,harvested
21,77G,clip,0,
22,1-1G2,JA,3,
23,53G,soil,2,
24,78G,ctrl,3,
25,53G,soil,4,
26,54G,JA,2,
27,11G,ctrl,16,
28,12G,clip,16,
29,54G,soil,4,
30,78G,JA,1,
31,78G,ctrl,0,
32,77G,soil,6,
33,54G,clip,0,
34,1-1G2,clip,NA,
35,54G,ctrl,3,
36,53G,ctrl,2,
37,50G,soil,10,
38,53G,JA,3,
39,78G,clip,2,
40,78G,clip,5,
41,77G,ctrl,NA,harvested
42,77G,soil,2,
43,53G,JA,3,
44,54G,ctrl,4,
45,50G,clip,5,
46,78G,soil,1,
47,53G,soil,2,
48,54G,JA,2,
49,54G,JA,4,
50,54G,soil,2,
51,1-1G2,clip,6,
52,53G,ctrl,2,
53,12G,JA,14,
54,54G,clip,1,
55,77G,ctrl,4,
56,12G,soil,11,
57,53G,JA,2,
58,54G,soil,3,
59,53G,ctrl,3,
60,1-1G2,ctrl,4,
61,54G,ctrl,1,
62,53G,clip,0,
63,11G,ctrl,8,
64,12G,clip,15,
65,78G,ctrl,1,
66,50G,JA,1,
67,11G,JA,15,
68,53G,soil,10,
69,51G,clip,10,
70,78G,JA,0,
71,54G,clip,0,
72,1-1G2,clip,5,
73,77G,JA,3,
74,78G,clip,4,
75,53G,clip,3,
76,77G,ctrl,4,
77,77G,clip,1,
78,53G,soil,0,
79,54G,soil,1,
80,11G,soil,16,
81,54G,clip,2,
82,77G,ctrl,3,
83,78G,soil,3,
84,51G,soil,10,
85,77G,JA,0,
86,54G,JA,0,
87,78G,clip,0,
88,78G,ctrl,3,
89,77G,soil,1,
90,12G,ctrl,8,
