family,treatment,stem_thickness_mm,len_longest_leaf_mm,stem_num,plant_num,notes
53G,clip,0.69,13.45,22,1,
77G,JA,0.99,12.17,19,2,
51G,JA,5.37,43.04,10,4,
53G,ctrl,0.84,25.54,25,5,
77G,clip,0.97,21.67,18,3,
78G,soil,1.1,12.8,16,6,
77G,soil,1.09,17.23,19,9,
53G,clip,0.99,10.82,27,8,
1-1G2,soil,1.36,26.16,12,15,
78G,soil,1.16,10.72,15,14,
77G,JA,1.09,13.03,28,13,
54G,ctrl,1.16,16.28,24,18,
51G,clip,3.63,33.56,7,16,
77G,clip,1,12.33,29,19,
50G,ctrl,4.69,42.29,12,20,
77G,clip,0.8,14.46,20,21,
1-1G2,JA,3.43,48.16,25,22,
53G,soil,0.89,9.82,18,23,
78G,ctrl,0.72,11.72,20,24,
11G,ctrl,4.11,41.08,9,27,
54G,JA,0.88,15.62,17,26,
53G,soil,1.48,16.53,17,25,
12G,clip,3.4,34.82,7,28,
54G,soil,0.71,10.43,17,29,
78G,JA,0.68,23.42,22,30,
78G,ctrl,0.72,14.97,32,31,
77G,soil,0.8,10.3,14,32,
54G,clip,0.85,10.74,21,33,
1-1G2,clip,0.53,7.93,4,34,
54G,ctrl,0.57,11.4,18,35,
53G,ctrl,0.72,21.48,18,36,
50G,soil,5.08,38.12,7,37,
53G,JA,1.04,11.6,24,38,
78G,clip,0.85,20.98,31,39,
78G,clip,0.97,12.29,17,40,
77G,ctrl,0.94,11.01,20,41,
77G,soil,0.9,21.17,15,42,
53G,JA,0.77,10.47,19,43,
54G,ctrl,0.87,20.75,16,44,
50G,clip,4.68,32.75,4,45,
78G,soil,1.11,13.14,15,46,
53G,soil,0.32,7.7,12,47,
54G,JA,0.87,13.15,21,48,
54G,JA,1,14.14,26,49,
54G,soil,0.74,13.82,16,50,
1-1G2,clip,0.59,19.2,20,51,"""branches [like] 1-1 [G2], internode distance [like] rosetted phenotype [phenotype 1]"
53G,ctrl,0.65,11.8,16,52,
12G,JA,5.09,32.9,9,53,
54G,clip,0.89,19.52,21,54,
77G,ctrl,0.88,9.21,22,55,
12G,soil,4.55,42.24,8,56,
53G,JA,0.61,13.04,18,57,
54G,soil,0.6,20.33,11,58,
1-1G2,ctrl,2,34.81,19,60,
53G,ctrl,1.3,17.43,25,59,"problem re-assigned ""56"" #2"
54G,ctrl,0.91,16.79,24,61,
53G,clip,0.66,10.25,24,62,
